id,title,researcher,category,phase,description,latitude,longitude,partners,startDate,completionDate
X25-RB01,Sanctuary Spaces,"Katherine Wiley, Braden Haley, Alex Wickes",psychology,Completed,Texas Architect article on interior design aspects that influence sanctuary-type spaces and student self-regulation in elementary schools,30.2672,-97.7431,Sunwest Publishing|Braden Haley,2024-01-15,2025-09-30
X25-RB02,The Modulizer Part 2,"Agustin Gonzalez, Leah Vander Anden, Alex Wickes",sustainability,Developmental,Experimental design applying massing strategy findings to develop and test multiple design iterations for Flour Bluff CTE,27.67227,-97.27860,UTSA|Amanda|Laura Goff,2025-02-01,
X25-RB03,Gyp Concrete and What's That?,Monse Rios,sustainability,Pre-Research,Novel material usage and life cycle impacts focusing on trends in architectural materials and additive manufacturing,30.2772,-97.7431,,2025-01-01,
X25-RB05,Mass Timber,TBD,sustainability,Pre-Research,Psychological effects of Mass Engineered Timber and natural materials in student housing buildings,30.2572,-97.7531,Wood Works|Timerlyne|Mercer Mass Timber,2025-01-01,
X25-RB06,Where Have All the Artists Gone?!,TBD,fine-arts,Pre-Research,Novel design and construction methods for creative education in dense urban settings and office-to-education conversion,30.2772,-97.7531,Austin Creative Alliance|SPARK,2025-01-01,
X25-RB08,The Modulizer Part 1,"Agustin Gonzalez, Alex Wickes",sustainability,Completed,Energy and design implications of massing strategies in sustainable school architecture using computational design,28.82470,-97.85381,UTSA|Amanda|Laura Goff,2024-01-15,2025-11-30
X25-RB09,Project Vision, Alex Wickes,immersive,Pre-Research,Project details to be documented - active research in development,30.2572,-97.7731,,2025-01-01,
X25-RB10,Project Prism, Alex Wickes,immersive,Pre-Research,Project details to be documented - active research in development,30.2672,-97.7831,,2025-01-01,
X25-RB11,Let's Focus, Alex Wickes,health-safety,Pre-Research,Project details to be documented - active research in development,30.2772,-97.7931,,2025-01-01,
